Cuba,0.02
Belgium,0.03
Syrian Arab Republic,0.03
Bulgaria,0.03
Gabon,0.04
Israel,0.05
Angola,0.05
Morocco,0.07
Egypt,0.1
Myanmar,0.21
Tunisia,0.21
Slovak Republic,0.28
Norway,0.29
Albania,0.29
Malaysia,0.3
Brazil,0.4
Czech Republic,0.45
Peru,0.45
Nigeria,0.56
Bangladesh,0.58
New Zealand,0.81
Chile,0.94
India,1.14
Qatar,1.21
Colombia,1.3
Indonesia,1.36
Trinidad and Tobago,1.49
Chinese Taipei,1.53
United Arab Emirates,1.63
Iraq,1.72
Plurinational State of Bolivia,1.76
Austria,1.87
Bahrain,1.88
Japan,2.2
Saudi Arabia,3.24
Pakistan,3.46
Libya,4.01
Australia,4.48
Kuwait,4.56
Hungary,4.99
Poland,5.28
France,5.94
Algeria,6.52
Argentina,6.64
Brunei Darussalam,6.76
China People's Republic of,8.46
Bolivarian Republic of Venezuela,8.82
Mexico,11
 Islamic Republic of,11.16
Italy,12.9
Germany,16.6
Romania,29.72
United Kingdom,32.6
Canada,60.59
Netherlands,73.54
United States,441.31
,787.86
