China People's Republic of,342.88
India,208.69
United States,153.4
Brazil,118.09
Nigeria,109.07
Indonesia,79.22
Canada,50.09
Ethiopia,45.51
Germany,36.02
Pakistan,34.86
Democratic Republic of Congo,27.09
Thailand,26.24
Italy,23.64
Japan,21.39
Tanzania United Republic of,21.26
France,21
Viet Nam,20.38
Kenya,19.57
Spain,18
Russian Federation,17.98
Philippines,17.93
Sweden,16.66
South Africa,16.17
Mexico,15.93
Norway,12.97
Turkey,12.01
Myanmar,11.71
Mozambique,10.39
Côte d'Ivoire,10.27
Sudan*,10.23
Finland,10.07
Nepal,9.73
United Kingdom,9.7
Chile,9.55
Austria,9.37
Bangladesh,9.29
Argentina,9.26
Zambia,9.04
Guatemala,8.32
Bolivarian Republic of Venezuela,8.23
New Zealand,8.22
Australia,8.18
Poland,8.05
Colombia,8
Zimbabwe,7.79
Angola,7.59
Paraguay,7.08
Romania,6.09
Portugal,5.85
Sri Lanka,5.33
Cameroon,5.33
Switzerland,5.24
Iceland,5.22
Peru,4.59
Netherlands,4.56
Ghana,4.35
Cambodia,4.26
Korea,3.93
Gabon,3.81
Czech Republic,3.66
Malaysia,3.36
Ukraine,3.26
Haiti,3.24
Denmark,3.14
Egypt,3.07
Belgium,2.86
Togo,2.64
Uruguay,2.62
Honduras,2.52
Costa Rica,2.46
Latvia,2.37
Greece,2.33
Benin,2.29
Croatia,2.29
Bosnia and Herzegovina,2.28
Korea Dem. People's Rep. of,2.21
Nicaragua,2.17
Niger,2.13
Serbia*,2.07
El Salvador,2.06
Hungary,2.05
Bulgaria,1.84
Senegal,1.82
Ecuador,1.79
Iran Islamic Republic of,1.74
Morocco,1.67
Cuba,1.67
Chinese Taipei,1.65
Republic of the Congo,1.56
Slovak Republic,1.44
Belarus,1.44
Tajikistan,1.38
Lithuania,1.36
Plurinational State of Bolivia,1.23
Georgia,1.2
Israel,1.19
Estonia,1.19
Slovenia,1.18
Tunisia,1.17
Kyrgyzstan,1.15
Dominican Republic,1.02
Uzbekistan,1.02
Ireland,0.85
Panama,0.8
Kazakhstan,0.73
Eritrea,0.63
Albania,0.62
Botswana,0.54
Jamaica,0.5
Namibia,0.46
Montenegro,0.33
Singapore,0.33
Moldova,0.32
Iraq,0.3
Macedonia former Yugoslav Republic of,0.28
Kosovo,0.26
Syrian Arab Republic,0.26
Azerbaijan,0.23
Armenia,0.21
Mongolia,0.2
South-Sudan,0.19
Hong Kong (China),0.19
Lebanon,0.16
Jordan,0.16
Libya,0.15
Luxembourg,0.12
Cyprus*,0.11
Yemen,0.11
United Arab Emirates,0.07
Algeria,0.03
Trinidad and Tobago,0.01
Malta,0.01
,1830.63
