Year,Coal,Renewables,Natural Gas,Oil,
1973,516.41,700.85,792.05,2330.16,4339.47
1974,510.01,724.24,791.24,2273.36,4298.85
1975,519.11,737.32,770.44,2241.87,4268.74
1976,518.58,751.36,787.86,2393.22,4451.02
1977,538.96,768.34,811.29,2493.03,4611.62
1978,550.07,793.24,827.27,2589.81,4760.39
1979,570.81,818.3,876.49,2613.23,4878.83
1980,557.92,835.32,876.68,2476.3,4746.22
1981,569.98,852.34,877.54,2362.58,4662.44
1982,572.22,873.73,850.62,2284.4,4580.97
1983,586.85,899.25,829.41,2271.59,4587.1
1984,828.69,928.51,891.73,2315.91,4964.84
1985,644.8,945.92,892.33,2305.16,4788.21
1986,645.9,960.52,894.91,2368.12,4869.45
1987,663.62,984.4,935.47,2431.8,5015.29
1988,685.51,999.99,967.74,2535.69,5188.93
1989,668.57,1018.67,1005.61,2581.83,5274.68
1990,753.35,1078.53,1688.08,3010.86,6530.82
1991,729.59,1097.77,1722.32,3017.78,6567.46
1992,666.76,1114.92,1724.93,3040.61,6547.22
1993,658.51,1128.01,1761.71,3032.79,6581.02
1994,640.43,1140.51,1780.78,3074.02,6635.74
1995,661.46,1164.95,1811.25,3128.47,6766.13
1996,612.75,1183.75,1887.45,3206.27,6890.22
1997,609.01,1196.64,1890.31,3273.43,6969.39
1998,588.8,1208.27,1932.23,3279.48,7008.78
1999,541.85,1225.1,1993.05,3335.88,7095.88
2000,547.12,1244.52,2064.02,3367.59,7223.25
2001,556.91,1242.92,2104.7,3399.56,7304.09
2002,567.93,1264.65,2155.95,3429.09,7417.62
2003,622.77,1297.5,2240.34,3493.05,7653.66
2004,721.3,1340.72,2301.89,3617.26,7981.17
2005,791.3,1380.68,2369.31,3649.14,8190.43
2006,834.85,1418.55,2444.7,3674.16,8372.26
2007,890.81,1463.17,2503.72,3706.38,8564.08
2008,932.53,1509.42,2603.24,3669.18,8714.37
2009,960.04,1539.55,2525.56,3623.07,8648.22
2010,1006.85,1611.07,2704.28,3721.92,9044.12
2011,1053,1646.29,2776.63,3744.39,9220.31
2012,1047.22,1717.05,2826.3,3839.65,9430.22
2013,1049.43,1783.01,2899.68,3847.23,9579.35
2014,1074.03,1830.63,2917.02,3898.54,9720.22
