Coal,Renewable,Natural Gas,Oil
0.119003012,0.161505898,0.18252229,0.5369688
0.118638706,0.168472964,0.184058527,0.528829803
0.121607313,0.172725441,0.180484171,0.525183075
0.116508126,0.168806251,0.177006619,0.537679004
0.116869994,0.166609565,0.175922995,0.540597447
0.115551457,0.166633406,0.17378198,0.544033157
0.116997313,0.167724639,0.179651679,0.535626369
0.117550387,0.175996899,0.184711202,0.521741512
0.122249294,0.182809859,0.188214755,0.506726092
0.124912409,0.190730348,0.185685564,0.498671679
0.127934861,0.196038892,0.180813586,0.495212662
0.166911723,0.187017104,0.179609011,0.466462162
0.134664102,0.197551904,0.18635983,0.481424165
0.132643317,0.19725431,0.183780509,0.486321864
0.132319367,0.196279776,0.186523611,0.484877245
0.132110088,0.192716032,0.186500878,0.488673002
0.126750817,0.193124512,0.190648532,0.489476139
0.115353049,0.165144653,0.258479027,0.461023271
0.111091655,0.167152902,0.26225055,0.459504892
0.101838643,0.170289069,0.263459911,0.464412377
0.100061996,0.171403521,0.267695585,0.460838897
0.09651222,0.171873823,0.268361931,0.463252026
0.097760463,0.172173754,0.267693645,0.462372139
0.088930397,0.171801481,0.273931747,0.465336375
0.087383544,0.171699388,0.271230337,0.46968673
0.084008915,0.172393769,0.275687067,0.46791025
0.076361212,0.172649481,0.280874254,0.470115053
0.075744298,0.172293635,0.285746721,0.466215346
0.076246322,0.170167673,0.288153624,0.465432381
0.07656499,0.170492692,0.290652527,0.462289791
0.081368914,0.169526736,0.292714858,0.456389492
0.090375221,0.167985396,0.288415107,0.453224277
0.096612754,0.168572346,0.289277852,0.445537048
0.099716206,0.169434537,0.29200001,0.438849247
0.104017011,0.170849642,0.292351309,0.432782038
0.107010604,0.173210456,0.29872957,0.42104937
0.111010127,0.178019292,0.292032349,0.418938232
0.111326475,0.178134523,0.299009743,0.411529259
0.114204403,0.178550396,0.301142803,0.406102398
0.111049371,0.182079527,0.299706688,0.407164414
0.109551274,0.186130583,0.302701123,0.40161702
0.110494413,0.188332157,0.300098146,0.401075284
